Format Version,1.22,Take Name,hw3_v2_A_007,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 00:51:41 +0800,Total Frames in Take,813,Total Exported Frames,813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
131,0.363889,,,,,,,,-0.071888,-0.440558,0.261696,-0.855719,-1.262147,0.176337,0.898749
132,0.366667,,,,,,,,-0.071766,-0.440605,0.261682,-0.855710,-1.262180,0.176285,0.898705
133,0.369444,,,,,,,,-0.071741,-0.440606,0.261670,-0.855715,-1.262186,0.176279,0.898703
134,0.372222,,,,,,,,-0.071869,-0.440580,0.261647,-0.855725,-1.262154,0.176332,0.898734
135,0.375000,,,,,,,,-0.071968,-0.440566,0.261643,-0.855725,-1.262164,0.176308,0.898754
136,0.377778,,,,,,,,-0.071930,-0.440564,0.261682,-0.855717,-1.262160,0.176334,0.898749
137,0.380556,,,,,,,,-0.071889,-0.440581,0.261682,-0.855712,-1.262158,0.176341,0.898741
138,0.383333,,,,,,,,-0.071911,-0.440567,0.261697,-0.855713,-1.262151,0.176341,0.898739
139,0.386111,,,,,,,,-0.071892,-0.440594,0.261693,-0.855702,-1.262150,0.176340,0.898735
140,0.388889,,,,,,,,-0.071888,-0.440570,0.261695,-0.855713,-1.262145,0.176336,0.898733
141,0.391667,,,,,,,,-0.071888,-0.440580,0.261708,-0.855704,-1.262150,0.176340,0.898742
142,0.394444,,,,,,,,-0.071966,-0.440577,0.261652,-0.855717,-1.262166,0.176301,0.898761
143,0.397222,,,,,,,,-0.071921,-0.440560,0.261683,-0.855720,-1.262154,0.176324,0.898750
144,0.400000,,,,,,,,-0.071776,-0.440608,0.261703,-0.855701,-1.262184,0.176280,0.898719
145,0.402778,,,,,,,,-0.071876,-0.440599,0.261701,-0.855698,-1.262163,0.176330,0.898745
146,0.405556,,,,,,,,-0.071827,-0.440612,0.261623,-0.855719,-1.262188,0.176247,0.898738
147,0.408333,,,,,,,,-0.071905,-0.440583,0.261683,-0.855709,-1.262159,0.176315,0.898735
148,0.411111,,,,,,,,-0.071762,-0.440613,0.261704,-0.855699,-1.262185,0.176276,0.898717
149,0.413889,,,,,,,,-0.071861,-0.440597,0.261680,-0.855707,-1.262157,0.176328,0.898751
150,0.416667,,,,,,,,-0.071903,-0.440567,0.261669,-0.855722,-1.262146,0.176341,0.898739
151,0.419444,,,,,,,,-0.071907,-0.440571,0.261709,-0.855707,-1.262166,0.176324,0.898741
152,0.422222,,,,,,,,-0.071896,-0.440565,0.261651,-0.855729,-1.262152,0.176331,0.898737
153,0.425000,,,,,,,,-0.071906,-0.440571,0.261669,-0.855720,-1.262151,0.176343,0.898743
154,0.427778,,,,,,,,-0.071904,-0.440556,0.261702,-0.855717,-1.262157,0.176330,0.898744
155,0.430556,,,,,,,,-0.071834,-0.440609,0.261639,-0.855715,-1.262181,0.176262,0.898727
156,0.433333,,,,,,,,-0.071754,-0.440610,0.261666,-0.855713,-1.262188,0.176269,0.898713
157,0.436111,,,,,,,,-0.071940,-0.440575,0.261613,-0.855732,-1.262160,0.176291,0.898753
158,0.438889,,,,,,,,-0.071778,-0.440632,0.261668,-0.855699,-1.262177,0.176279,0.898715
159,0.441667,,,,,,,,-0.071740,-0.440613,0.261679,-0.855709,-1.262176,0.176285,0.898708
