Format Version,1.22,Take Name,hw3_v2_B_001,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:11:04 +0800,Total Frames in Take,654,Total Exported Frames,654,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
142,0.394444,,,,,,,,-0.140176,-0.161416,0.211097,-0.953800,-0.886677,0.178280,0.697313
143,0.397222,,,,,,,,-0.140180,-0.161412,0.211110,-0.953797,-0.886680,0.178277,0.697313
144,0.400000,,,,,,,,-0.140178,-0.161414,0.211105,-0.953798,-0.886679,0.178275,0.697308
145,0.402778,,,,,,,,-0.140189,-0.161394,0.211104,-0.953800,-0.886677,0.178276,0.697302
146,0.405556,,,,,,,,-0.140185,-0.161410,0.211105,-0.953797,-0.886674,0.178279,0.697308
147,0.408333,,,,,,,,-0.140173,-0.161419,0.211110,-0.953797,-0.886673,0.178287,0.697307
148,0.411111,,,,,,,,-0.140164,-0.161421,0.211097,-0.953801,-0.886680,0.178283,0.697310
149,0.413889,,,,,,,,-0.140181,-0.161419,0.211097,-0.953798,-0.886682,0.178280,0.697312
150,0.416667,,,,,,,,-0.140183,-0.161417,0.211101,-0.953797,-0.886679,0.178283,0.697309
151,0.419444,,,,,,,,-0.140263,-0.161188,0.210694,-0.953915,-0.886607,0.178475,0.697408
152,0.422222,,,,,,,,-0.140205,-0.161343,0.210985,-0.953833,-0.886655,0.178342,0.697340
153,0.425000,,,,,,,,-0.140172,-0.161406,0.211103,-0.953800,-0.886678,0.178284,0.697311
154,0.427778,,,,,,,,-0.140187,-0.161394,0.211100,-0.953801,-0.886676,0.178286,0.697311
155,0.430556,,,,,,,,-0.140252,-0.161210,0.210707,-0.953909,-0.886606,0.178469,0.697412
156,0.433333,,,,,,,,-0.140182,-0.161355,0.210971,-0.953837,-0.886657,0.178336,0.697339
157,0.436111,,,,,,,,-0.140173,-0.161419,0.211093,-0.953800,-0.886679,0.178276,0.697312
158,0.438889,,,,,,,,-0.140178,-0.161411,0.211095,-0.953801,-0.886680,0.178278,0.697311
159,0.441667,,,,,,,,-0.140254,-0.161212,0.210712,-0.953908,-0.886608,0.178467,0.697411
160,0.444444,,,,,,,,-0.140205,-0.161339,0.210978,-0.953835,-0.886653,0.178336,0.697344
161,0.447222,,,,,,,,-0.140266,-0.161197,0.210727,-0.953905,-0.886604,0.178467,0.697414
162,0.450000,,,,,,,,-0.140224,-0.161343,0.210988,-0.953829,-0.886649,0.178347,0.697342
163,0.452778,,,,,,,,-0.140181,-0.161418,0.211102,-0.953797,-0.886675,0.178281,0.697307
164,0.455556,,,,,,,,-0.140174,-0.161418,0.211097,-0.953800,-0.886681,0.178273,0.697310
165,0.458333,,,,,,,,-0.140189,-0.161401,0.211095,-0.953801,-0.886682,0.178275,0.697313
166,0.461111,,,,,,,,-0.140177,-0.161408,0.211098,-0.953801,-0.886680,0.178280,0.697311
167,0.463889,,,,,,,,-0.140176,-0.161403,0.211104,-0.953800,-0.886677,0.178278,0.697309
168,0.466667,,,,,,,,-0.140173,-0.161402,0.211111,-0.953799,-0.886677,0.178274,0.697311
169,0.469444,,,,,,,,-0.140183,-0.161395,0.211108,-0.953800,-0.886683,0.178273,0.697306
170,0.472222,,,,,,,,-0.140186,-0.161397,0.211109,-0.953799,-0.886683,0.178273,0.697307
171,0.475000,,,,,,,,-0.140260,-0.161212,0.210723,-0.953904,-0.886603,0.178466,0.697407
172,0.477778,,,,,,,,-0.140210,-0.161350,0.210963,-0.953835,-0.886649,0.178344,0.697339
